1,James,Smith,21.1,james smith,25837.9319302092,31289.7355674834
2,Michael,Smith,5.6,michael smith,29275.9128558894,30915.3639758192
3,Robert,Smith,8.7,robert smith,24005.2158484352,26093.6696272491
4,David,Smith,10.8,david smith,22613.772849941,25056.0603177346
5,James,Johnson,9.6,james johnson,20498.0436015171,22465.8557872627
6,Michael,Johnson,-4.8,michael johnson,23225.5019409123,22110.6778477485
7,William,Smith,16.6,william smith,18925.4835104948,22067.113773237
8,James,Williams,20.7,james williams,17215.259742662,20778.8185093931
9,Robert,Johnson,5.9,robert johnson,19044.0923234165,20167.693770498
10,Mary,Smith,14.7,mary smith,17293.1240457633,19835.2132804905
11,James,Brown,25.4,james brown,15257.8615744203,19133.358414323
12,John,Smith,-23.5,john smith,24464.3906069638,18715.2588143273
13,David,Johnson,3.5,david johnson,17940.2168534601,18568.1244433312
14,Michael,Brown,4.2,michael brown,17288.0641928502,18014.1628889499
15,Maria,Garcia,663.9,maria garcia,2348.39080111503,17939.3573297177
16,Michael,Williams,-8.1,michael williams,19505.9126782672,17925.9337513276
17,Michael,Jones,-2.4,michael jones,17114.7797806733,16704.0250659371
18,James,Jones,8.9,james jones,15104.9266046916,16449.2650725092
19,Maria,Rodriguez,639.8,maria rodriguez,2206.5883862055,16324.3408811483
20,Robert,Brown,14.2,robert brown,14175.6028101951,16188.5384092428
21,Michael,Miller,18.1,michael miller,13654.8945309654,16126.4304410701
22,Robert,Jones,12.6,robert jones,14033.5157047323,15801.7386835285
23,Robert,Williams,-1.3,robert williams,15994.1603347251,15786.2362503737
24,William,Johnson,4.3,william johnson,15014.180981116,15659.7907633039
25,James,Davis,32.8,james davis,11787.5648441661,15653.8861130525
26,Mary,Johnson,11.7,mary johnson,13719.1789054159,15324.3228373496
27,Maria,Martinez,614.1,maria martinez,2120.44744396186,15142.1151973317
28,Charles,Smith,38.4,charles smith,10822.0639352004,14977.7364863173
29,David,Brown,10.3,david brown,13353.925412907,14729.3797304364
30,Robert,Miller,29.6,robert miller,11196.5318457184,14510.7052720511
31,James,Miller,20.3,james miller,12051.3487364851,14497.7725299916
32,John,Williams,-11.3,john williams,16300.0986256338,14458.1874809372
33,Richard,Smith,6.2,richard smith,13518.6934511952,14356.8524451693
34,David,Williams,-7.3,david williams,15067.0717155241,13967.1754802908
35,David,Jones,5,david jones,13220.0742720496,13881.077985652
36,Michael,Davis,2.5,michael davis,13356.0116998944,13689.9119923918
37,William,Brown,22.3,william brown,11175.9102242424,13668.1382042484
38,David,Miller,27.9,david miller,10547.5338970014,13490.2958542648
39,Mary,Williams,13.1,mary williams,11522.0375614434,13031.4244819925
40,Jennifer,Smith,16.7,jennifer smith,10956.9917876871,12786.8094162309
41,William,Jones,15.4,william jones,11063.8901037623,12767.7291797417
42,John,Johnson,-35.2,john johnson,19408.370093265,12576.6238204357
43,John,Miller,8.4,john miller,11410.7005013588,12369.1993434729
44,Daniel,Smith,-5.2,daniel smith,12992.3819562103,12316.7780944874
45,Thomas,Smith,-2.6,thomas smith,12446.2774940001,12122.6742791561
46,Linda,Smith,27.5,linda smith,9484.2252088873,12092.3871413313
47,James,Wilson,40.9,james wilson,8563.53625629429,12066.0225851187
48,Robert,Davis,7.2,robert davis,10951.4584671848,11739.9634768221
